name,slug,created_at,updated_at,id
U2,u2,2020-02-22 16:16:11.056966,2020-02-22 16:16:11.056966,00728db6-8c23-4a58-ac10-e2b66cf74d51
The White Stripes,the-white-stripes,2020-02-22 16:16:11.159912,2020-02-22 16:16:11.159912,bd518a4c-5138-4c93-ab13-3aa1515e00b4
Led Zepllin,led-zepllin,2020-02-22 16:16:11.315238,2020-02-22 16:16:11.315238,9e044c10-50fa-4892-8684-0c00115534c1
Trans-Siberian Orchestra,trans-siberian-orchestra,2020-02-22 16:16:11.410885,2020-02-22 16:16:11.410885,92e593c2-0de6-402b-9470-d2b31fcc01ec
Muse,muse,2020-02-22 16:16:11.598970,2020-02-22 16:16:11.598970,0741948c-afa5-4f19-bb97-126844a6fa0a
Modest Mussorgsky,modest-mussorgsky,2020-02-22 16:16:11.671685,2020-02-22 16:16:11.671685,49eece7c-3661-4fa1-a538-bdf2a4e1cd8a
The Ramones,the-ramones,2020-02-22 16:16:11.758491,2020-02-22 16:16:11.758491,67da6e12-008c-476e-bfc2-77da47eeee1a
Supertramp,supertramp,2020-02-22 16:16:11.816855,2020-02-22 16:16:11.816855,e8e1f0cf-a0ef-4efa-a652-10501f6f6fb5
Justice,justice,2020-02-22 16:16:12.057067,2020-02-22 16:16:12.057067,cf356c9f-d633-4ff4-a748-d0667ddd8276
Rage Against The Machine,rage-against-the-machine,2020-02-22 16:16:12.129222,2020-02-22 16:16:12.129222,a65a8de6-b8a7-4350-a9bf-0b02f9061b60
Tuphace,tuphace,2020-02-22 16:16:12.266769,2020-02-22 16:16:12.266769,b25c8acc-4fd6-49e8-9faf-0e3c5b0ab318
Daft Punk,daft-punk,2020-02-22 16:16:12.323226,2020-02-22 16:16:12.323226,adb45363-78e3-4386-8e4a-de06d60bd09d
The Beastie Boys,the-beastie-boys,2020-02-22 16:16:12.381920,2020-02-22 16:16:12.381920,7c77e463-6bab-42ea-be3e-19cebc2e62d7
Funkadelic,funkadelic,2020-02-22 16:16:12.495967,2020-02-22 16:16:12.495967,96453576-2ebc-4045-91d5-7977572309e2
Flo Rida,flo-rida,2020-02-22 16:16:12.584146,2020-02-22 16:16:12.584146,f5f5bc2e-1fb1-4263-a019-8507e4d7fc08
"Jon Gutwillig, Harry Zelnick & Alex Chig",jon-gutwillig-harry-zelnick-alex-chig,2020-02-22 16:16:12.779477,2020-02-22 16:16:12.779477,e0b6f31b-1ca6-42cc-90ca-7c53238aa2df
Gorillaz,gorillaz,2020-02-22 16:16:12.935484,2020-02-22 16:16:12.935484,95da34d7-c5b9-4630-b519-6a6c992161d3
T-Bone Walker,t-bone-walker,2020-02-22 16:16:13.026457,2020-02-22 16:16:13.026457,8a604595-0db3-420d-958e-ab88481ff9bd
Gary Numan,gary-numan,2020-02-22 16:16:13.125262,2020-02-22 16:16:13.125262,f226cbad-3fbe-4fcc-8a14-b84771c284c0
Nintendo,nintendo,2020-02-22 16:16:13.236660,2020-02-22 16:16:13.236660,e121f335-994b-4e15-886d-2e40597f2b53
The Stranglers,the-stranglers,2020-02-22 16:16:13.361750,2020-02-22 16:16:13.361750,3aaca4fb-2f0f-4f9b-a9e0-3b558c2bdef8
INXS,inxs,2020-02-22 16:16:13.628068,2020-02-22 16:16:13.628068,6268ca24-5bfc-4998-a57f-2e13ee13d2fe
Kool & the Gang,kool-the-gang,2020-02-22 16:16:13.689267,2020-02-22 16:16:13.689267,f9714ece-8039-4d28-a516-dda4b4459670
Garcia/Weir/Kreutzmann,garcia-weir-kreutzmann,2020-02-22 16:16:13.741570,2020-02-22 16:16:13.741570,a378ce45-f248-4a18-bc88-5efa4d62896e
Garcia/Hunter,garcia-hunter,2020-02-22 16:16:13.782602,2020-02-22 16:16:13.782602,b2e3838d-17e2-455f-8488-14f2716e4b10
Walter Murphy,walter-murphy,2020-02-22 16:16:13.820562,2020-02-22 16:16:13.820562,e4a8d427-c523-4156-af9b-2e67e3321a2c
Isaac Hayes and David Porter,isaac-hayes-and-david-porter,2020-02-22 16:16:13.921003,2020-02-22 16:16:13.921003,ca31b3dd-a701-40ab-afec-9bb44b983363
Patrick Hernandez,patrick-hernandez,2020-02-22 16:16:14.098541,2020-02-22 16:16:14.098541,e06e15cb-2aea-4d41-a4c9-1b52da282dd8
LCD Soundsystem,lcd-soundsystem,2020-02-22 16:16:14.148339,2020-02-22 16:16:14.148339,4b0c7b3d-7e5c-460f-8a6e-003633faf264
Bee Gees,bee-gees,2020-02-22 16:16:14.254461,2020-02-22 16:16:14.254461,d11dfbdd-adf6-4acd-86bd-3a6d9962f1be
Rick James,rick-james,2020-02-22 16:16:14.315863,2020-02-22 16:16:14.315863,d247b0ee-1fba-449f-96bc-60733f5f35fc
Eddy Grant,eddy-grant,2020-02-22 16:16:14.407026,2020-02-22 16:16:14.407026,49b90d78-dd40-40ae-8442-4f315f0c75b6
Issac Hayes,issac-hayes,2020-02-22 16:16:14.527781,2020-02-22 16:16:14.527781,e58e50f8-a33c-427a-9714-6dd229b5e8df
Lipps Inc.,lipps-inc,2020-02-22 16:16:14.756227,2020-02-22 16:16:14.756227,b2fa49a5-2828-4c99-bdd9-608c4438c815
Hall and Oates,hall-and-oates,2020-02-22 16:16:14.978286,2020-02-22 16:16:14.978286,01e47aa0-9b75-473f-b598-30adbb912814
S U R V I VE,s-u-r-v-i-ve,2020-02-22 16:16:15.150766,2020-02-22 16:16:15.150766,21604205-4f7f-44d4-bb25-eb7cac506787
Duran Duran,duran-duran,2020-02-22 16:16:15.250245,2020-02-22 16:16:15.250245,46edf325-0a60-4687-a5a4-8544cf7d1848
Blondie,blondie,2020-02-22 16:16:15.418796,2020-02-22 16:16:15.418796,c245477a-09f3-45d1-beef-abe25f172b27
Mike Oldfield,mike-oldfield,2020-02-22 16:16:15.513589,2020-02-22 16:16:15.513589,b335fff3-e32a-44eb-825b-5fea1ceae149
Donna Summer/Giorgio Moroder/ Pete Bello,donna-summer-giorgio-moroder-pete-bello,2020-02-22 16:16:15.578791,2020-02-22 16:16:15.578791,306f31b3-30ee-4f40-8336-38a8cb075ece
John Lennon,john-lennon,2020-02-22 16:16:15.626616,2020-02-22 16:16:15.626616,676b9663-c899-4e49-a843-3ed05c6fd863
"Aron Magner, Jon Gutwillig",aron-magner-jon-gutwillig,2020-02-22 16:16:15.694605,2020-02-22 16:16:15.694605,16dea9b0-03b7-43eb-bcda-5162b37b7088
Allen Aucoin,allen-aucoin,2020-02-22 16:16:15.742312,2020-02-22 16:16:15.742312,6d43f65e-15af-4fee-9fab-9a18d6526410
Ginuwine,ginuwine,2020-02-22 16:16:15.828619,2020-02-22 16:16:15.828619,a5bd067f-4d71-4ad3-b541-addbbaf45ad4
"Brownstein, Calarco",brownstein-calarco,2020-04-22 22:56:01.579065,2020-04-22 22:56:01.579065,d65dd58f-e6f9-4a21-8ddd-500960eeafcd
